corpus	sent_id	left	node	right	node_sentences	senses	category
ind_mixed_2012_1M	58484	8 yang telah memiliki iSync 2.3 (saya kurang tau	mengenai	10.039999999999999	8 yang telah memiliki iSync 2.3 (saya kurang tau <m>mengenai</m> 10.4.	NA	prep
ind_mixed_2012_1M	907379	Usaha Nekat Lainnya : Eksperimen Fox Tertantang oleh dilema di atas, evolusionis mulai membuat skenario yang tidak realistis	mengenai	_masalah air_ yang mutlak meruntuhkan teori mereka.	Usaha Nekat Lainnya : Eksperimen Fox Tertantang oleh dilema di atas, evolusionis mulai membuat skenario yang tidak realistis <m>mengenai</m> _masalah air_ yang mutlak meruntuhkan teori mereka.	NA	prep
ind_mixed_2012_1M	126188	_Atau, juga pernyataannya	mengenai	, _uatu masa di mana, ada batu hitam yang terapung.	_Atau, juga pernyataannya <m>mengenai</m>, _uatu masa di mana, ada batu hitam yang terapung.	NA	prep
ind_mixed_2012_1M	892280	&endash; pada masalah	mengenai	, dan program untuk, sebuah revolusi sosialis.	&endash; pada masalah <m>mengenai</m>, dan program untuk, sebuah revolusi sosialis.	NA	prep
ind_mixed_2012_1M	237255	Carey bangkit serta mengemukakan masalah	mengenai	": ""Apakah Amanat Agung Kristus masih berlaku bagi kita sekarang ini untuk pergi dan mengajar segala bangsa atau tidak?"	"Carey bangkit serta mengemukakan masalah <m>mengenai</m>: ""Apakah Amanat Agung Kristus masih berlaku bagi kita sekarang ini untuk pergi dan mengajar segala bangsa atau tidak?"	NA	prep
ind_mixed_2012_1M	429044	Selanjutnya, dalam melakukan peliputan lanjutan tsunami, media hendaknya mempertimbangkan berita-berita maupun tulisan	mengenai	: 1. Bagaimana komunitas sedang dipulihkan.	Selanjutnya, dalam melakukan peliputan lanjutan tsunami, media hendaknya mempertimbangkan berita-berita maupun tulisan <m>mengenai</m>: 1. Bagaimana komunitas sedang dipulihkan.	NA	prep
ind_mixed_2012_1M	481383	5. Apa yang Yesus katakan pada mereka	mengenai	: 3. Jalan keluar mereka.	5. Apa yang Yesus katakan pada mereka <m>mengenai</m>: 3. Jalan keluar mereka.	NA	prep
ind_mixed_2012_1M	150443	Wikipedia memiliki artikel ensiklopedia	mengenai	: Akhilles adalah salah satu prajurit terhebat dalam mitologi Yunani.	Wikipedia memiliki artikel ensiklopedia <m>mengenai</m>: Akhilles adalah salah satu prajurit terhebat dalam mitologi Yunani.	NA	prep
ind_mixed_2012_1M	573632	Antara lain kita akan belajar	mengenai	: Antara lain kita akan belajar mengenai : Awal mulanya sejak ditemukan lebih dari 100 tahun yang lalu, televisi hampir tidak mengalami perubahan yang berarti dari sisi bentuk.	Antara lain kita akan belajar <m>mengenai</m> : Antara lain kita akan belajar mengenai : Awal mulanya sejak ditemukan lebih dari 100 tahun yang lalu, televisi hampir tidak mengalami perubahan yang berarti dari sisi bentuk.	NA	prep
ind_mixed_2012_1M	573632	Antara lain kita akan belajar mengenai : Antara lain kita akan belajar	mengenai	: Awal mulanya sejak ditemukan lebih dari 100 tahun yang lalu, televisi hampir tidak mengalami perubahan yang berarti dari sisi bentuk.	Antara lain kita akan belajar mengenai : Antara lain kita akan belajar <m>mengenai</m> : Awal mulanya sejak ditemukan lebih dari 100 tahun yang lalu, televisi hampir tidak mengalami perubahan yang berarti dari sisi bentuk.	NA	prep
ind_mixed_2012_1M	996337	Antara lain mata kuliah Antara lain kita akan belajar	mengenai	: Dalam mata kuliah ini belajar mengenai topologi jaringan.	Antara lain mata kuliah Antara lain kita akan belajar <m>mengenai</m> : Dalam mata kuliah ini belajar mengenai topologi jaringan.	NA	prep
ind_mixed_2012_1M	667035	Wikipedia memiliki artikel ensiklopedia mengenai: Wikipedia memiliki artikel ensiklopedia	mengenai	: Di suatu kerajaan ada seorang raja yang memiliki tiga orang putri.	Wikipedia memiliki artikel ensiklopedia mengenai: Wikipedia memiliki artikel ensiklopedia <m>mengenai</m>: Di suatu kerajaan ada seorang raja yang memiliki tiga orang putri.	NA	prep
ind_mixed_2012_1M	869515	Yaitu	mengenai	: kenapa sih cowok selalu _erbeda pendapat_ama cewek, kenapa sesuatu yang Simply Being a Writer! by Sitta Karina 8 menurut cewek romantis, tapi menurut cowok tidak?	Yaitu <m>mengenai</m>: kenapa sih cowok selalu _erbeda pendapat_ama cewek, kenapa sesuatu yang Simply Being a Writer! by Sitta Karina 8 menurut cewek romantis, tapi menurut cowok tidak?	NA	prep
ind_mixed_2012_1M	669023	Wikipedia memiliki artikel ensiklopedia	mengenai	: Sisifos adalah pendiri sekaligus raja di Efra.	Wikipedia memiliki artikel ensiklopedia <m>mengenai</m>: Sisifos adalah pendiri sekaligus raja di Efra.	NA	prep
ind_mixed_2012_1M	667035	Wikipedia memiliki artikel ensiklopedia	mengenai	: Wikipedia memiliki artikel ensiklopedia mengenai: Di suatu kerajaan ada seorang raja yang memiliki tiga orang putri.	Wikipedia memiliki artikel ensiklopedia <m>mengenai</m>: Wikipedia memiliki artikel ensiklopedia mengenai: Di suatu kerajaan ada seorang raja yang memiliki tiga orang putri.	NA	prep
ind_mixed_2012_1M	411035	Wikipedia memiliki artikel ensiklopedia	mengenai	: Zeus memutuskan bahwa manusia harus memberikan persembahan pada dewa berupa bagian tubuh hewan.	Wikipedia memiliki artikel ensiklopedia <m>mengenai</m>: Zeus memutuskan bahwa manusia harus memberikan persembahan pada dewa berupa bagian tubuh hewan.	NA	prep
ind_mixed_2012_1M	20196	Penekanan pada tanggung jawab pribadi ini sejalan dengan prinsip tradisional Protestan tentang keimamatan orang percaya dan terutama penekanannya	mengenai	'kompetensi individu'.	Penekanan pada tanggung jawab pribadi ini sejalan dengan prinsip tradisional Protestan tentang keimamatan orang percaya dan terutama penekanannya <m>mengenai</m> 'kompetensi individu'.	NA	prep
ind_mixed_2012_1M	725084	""" Bu Sri: ""Sekarang saya akan bertanya"	mengenai	"'Siapa saya', Bu Sri: ""Kamu memasukan tiang kamu pada saya."	""" Bu Sri: ""Sekarang saya akan bertanya <m>mengenai</m> 'Siapa saya', Bu Sri: ""Kamu memasukan tiang kamu pada saya."	NA	prep
ind_mixed_2012_1M	345528	Topik ini membahas	mengenai	'Yesus yang dicipta' dimana anda dan Hai Hai mengacu pada zaman sebelum inkarnasi, dan ini jelas mengarah pada keilahian Yesus.	Topik ini membahas <m>mengenai</m> 'Yesus yang dicipta' dimana anda dan Hai Hai mengacu pada zaman sebelum inkarnasi, dan ini jelas mengarah pada keilahian Yesus.	NA	prep
ind_mixed_2012_1M	112260	Aku sangat tahu hal itu, karena secara tidak sadar si manajer itu sering _erkonsultasi_kepadaku	mengenai	_ffair_nya dengan Eksanti.	Aku sangat tahu hal itu, karena secara tidak sadar si manajer itu sering _erkonsultasi_kepadaku <m>mengenai</m> _ffair_nya dengan Eksanti.	NA	prep
ind_mixed_2012_1M	121572	Pertanyaan pertama saya adalah	mengenai	_ntersesi_(perantara, penengah) Dalam buku anda Al bayan anda jelaskan bahwa intersesi, seperti yg dipercaya oleh banyak muslim, adalah sebuah mitos.	Pertanyaan pertama saya adalah <m>mengenai</m> _ntersesi_(perantara, penengah) Dalam buku anda Al bayan anda jelaskan bahwa intersesi, seperti yg dipercaya oleh banyak muslim, adalah sebuah mitos.	NA	prep
ind_mixed_2012_1M	126166	Makanya tak heran, anda sama sekali tidak membahas (membuang) _edaulatan Allah_ dan menjabarkan dengan salah dan LEBAY	mengenai	_ebebasan manusia_	Makanya tak heran, anda sama sekali tidak membahas (membuang) _edaulatan Allah_ dan menjabarkan dengan salah dan LEBAY <m>mengenai</m> _ebebasan manusia_	NA	prep
ind_mixed_2012_1M	425443	Inilah pemahaman	mengenai	_ebenaran_penganut Islam Liberal, yang sesungguhnya bukanlah Kebenaran.	Inilah pemahaman <m>mengenai</m> _ebenaran_penganut Islam Liberal, yang sesungguhnya bukanlah Kebenaran.	NA	prep
ind_mixed_2012_1M	28033	Kumpulan hukum mulai dengan suatu tuntutan tegas	mengenai	_emusatan kultus_ yaitu peraturan bahwa pengorbanan akan diselenggarakan dan pengangkatan pujaan akan dibuat hanya pada satu tempat ibadat (12.	Kumpulan hukum mulai dengan suatu tuntutan tegas <m>mengenai</m> _emusatan kultus_ yaitu peraturan bahwa pengorbanan akan diselenggarakan dan pengangkatan pujaan akan dibuat hanya pada satu tempat ibadat (12.	NA	prep
ind_mixed_2012_1M	141733	Saya tidak yakin di mana konflik ini berlangsung _mungkin saja di Dulce karena banyak isu	mengenai	_erang Dulce_beredar di kalangan komunitas intelijen.	Saya tidak yakin di mana konflik ini berlangsung _mungkin saja di Dulce karena banyak isu <m>mengenai</m> _erang Dulce_beredar di kalangan komunitas intelijen.	NA	prep
ind_mixed_2012_1M	351873	Di sini ada suatu stereotip atas suatu ungkapan (ucapan) yang sering digunakan secara berulang-ulang, supaya ara ahli memiliki titik tolak untuk berbicara	mengenai	_ola paraenetis_(Lohfink, 90 ss.	Di sini ada suatu stereotip atas suatu ungkapan (ucapan) yang sering digunakan secara berulang-ulang, supaya ara ahli memiliki titik tolak untuk berbicara <m>mengenai</m> _ola paraenetis_(Lohfink, 90 ss.	NA	prep
ind_mixed_2012_1M	758851	Singkatnya bagi Gray _engan mengutip Berlin- inti Utopianisme adalah sebuah mimpi	mengenai	_ltimate harmony_	Singkatnya bagi Gray _engan mengutip Berlin- inti Utopianisme adalah sebuah mimpi <m>mengenai</m> _ltimate harmony_	NA	prep
ind_mixed_2012_1M	957109	Setiap terjadi bencana, yang perlu mendapat perhatian awal adalah	mengenai	_olen Period_ katanya.	Setiap terjadi bencana, yang perlu mendapat perhatian awal adalah <m>mengenai</m> _olen Period_ katanya.	NA	prep
ind_mixed_2012_1M	339618	"Mengenai Asaf: Bahasa Ibrani untuk kata ""tentang"" mempunyai arti yang luas, dan bisa berarti """	mengenai	""" atau ""terhadap"" yang sama halnya dengan ""tentang""."	"Mengenai Asaf: Bahasa Ibrani untuk kata ""tentang"" mempunyai arti yang luas, dan bisa berarti ""<m>mengenai</m>"" atau ""terhadap"" yang sama halnya dengan ""tentang""."	NA	prep
ind_mixed_2012_1M	803396	Tapi masih ada bukti lain	mengenai	"""adanya oknumoknum yang tidak benar""."	"Tapi masih ada bukti lain <m>mengenai</m> ""adanya oknumoknum yang tidak benar""."	NA	prep
ind_mixed_2012_1M	794512	Bicara	mengenai	"""BOM"", negara mana yang bisa menjamin 100% tidak akan pernah ada BOM?"	"Bicara <m>mengenai</m> ""BOM"", negara mana yang bisa menjamin 100% tidak akan pernah ada BOM?"	NA	prep
ind_mixed_2012_1M	277135	Namun banyak orang lupa, bahwa konteks ayatnya adalah	mengenai	"""domba di tengah serigala""."	"Namun banyak orang lupa, bahwa konteks ayatnya adalah <m>mengenai</m> ""domba di tengah serigala""."	NA	prep
ind_mixed_2012_1M	69368	Dengan demikian setiap orang yang tidak mengenal hukum Taurat-pun secara naluriah akan dapat menilai perbuatan dan etika mereka, inilah yang dimaksud dalam ayat 14-15	mengenai	"""dorongan diri sendiri melakukan apa yang dituntut hukum Taurat""."	"Dengan demikian setiap orang yang tidak mengenal hukum Taurat-pun secara naluriah akan dapat menilai perbuatan dan etika mereka, inilah yang dimaksud dalam ayat 14-15 <m>mengenai</m> ""dorongan diri sendiri melakukan apa yang dituntut hukum Taurat""."	NA	prep
ind_mixed_2012_1M	952263	~	Mengenai	"""dugaan"" ini, beberapa alasan dapat dikemukakan."	"<m>Mengenai</m> ""dugaan"" ini, beberapa alasan dapat dikemukakan."	NA	prep
ind_mixed_2012_1M	133068	Tidak ada daerah netral untuk berbicara	mengenai	"""fakta-fakta"" tanpa pengaruh dari komitmen dasar kita."	"Tidak ada daerah netral untuk berbicara <m>mengenai</m> ""fakta-fakta"" tanpa pengaruh dari komitmen dasar kita."	NA	prep
ind_mixed_2012_1M	115742	Tetapi secara tiba- tiba berhenti tanpa menyebutkan ayat selanjutnya	mengenai	"""hari pembalasan Allah"" yang menunjuk kepada hukuman di saat kedatangan kedua kali-Nya."	"Tetapi secara tiba- tiba berhenti tanpa menyebutkan ayat selanjutnya <m>mengenai</m> ""hari pembalasan Allah"" yang menunjuk kepada hukuman di saat kedatangan kedua kali-Nya."	NA	prep
ind_mixed_2012_1M	347618	~	Mengenai	"""homoousios"" disarankan oleh Constantine atas dorongan penasihatnya dari Barat karena kata ""homoousios"" cocok dengan Gereja bagian Barat sejak Tertullian memperkenalkan Trinitas sebagai oknum dalam satu zat."	"<m>Mengenai</m> ""homoousios"" disarankan oleh Constantine atas dorongan penasihatnya dari Barat karena kata ""homoousios"" cocok dengan Gereja bagian Barat sejak Tertullian memperkenalkan Trinitas sebagai oknum dalam satu zat."	NA	prep
ind_mixed_2012_1M	404716	Pada kesempatan itu ia melaporkan kepada Soeharto	mengenai	"""info"" Dewan Jendral."	"Pada kesempatan itu ia melaporkan kepada Soeharto <m>mengenai</m> ""info"" Dewan Jendral."	NA	prep
ind_mixed_2012_1M	721504	"Dalam Hakim-Hakim 3:9,15 diterjemahkan sebagai ""penyelamat,"" ada kemungkinan bahwa penulis berpikir"	mengenai	"""Juruselamat"" yaitu sebagai Juruselamat Illahi."	"Dalam Hakim-Hakim 3:9,15 diterjemahkan sebagai ""penyelamat,"" ada kemungkinan bahwa penulis berpikir <m>mengenai</m> ""Juruselamat"" yaitu sebagai Juruselamat Illahi."	NA	prep
ind_mixed_2012_1M	728538	Satu contoh saja, yaitu dalam Qur'an surat 5 ayat 89 tertera	mengenai	"""Kaffarat"" bagi yang melanggar sumpah yang uraiannya ialah: 1. Memberi makan sepuluh orang miskin yaitu dari makanan yang biasa diberikan kepada keluarga si pelanggar sumpah."	"Satu contoh saja, yaitu dalam Qur'an surat 5 ayat 89 tertera <m>mengenai</m> ""Kaffarat"" bagi yang melanggar sumpah yang uraiannya ialah: 1. Memberi makan sepuluh orang miskin yaitu dari makanan yang biasa diberikan kepada keluarga si pelanggar sumpah."	NA	prep
ind_mixed_2012_1M	799140	Dalam bagian ini kami akan manafsirkan permasalahan yang sedang kita hadapi sekarang, yakni	mengenai	"""Kebangkitan atau Kebangunan""."	"Dalam bagian ini kami akan manafsirkan permasalahan yang sedang kita hadapi sekarang, yakni <m>mengenai</m> ""Kebangkitan atau Kebangunan""."	NA	prep
ind_mixed_2012_1M	537159	Tertulianus dalam buku On the Resurrection of the Flesh bagian 27 menggunakan ayat ini dan berbicara	mengenai	"""kecantikan yang bersinar dari manusia yang tidak kawin"" (contohnya, pembujangan/perawanan secara umum)."	"Tertulianus dalam buku On the Resurrection of the Flesh bagian 27 menggunakan ayat ini dan berbicara <m>mengenai</m> ""kecantikan yang bersinar dari manusia yang tidak kawin"" (contohnya, pembujangan/perawanan secara umum)."	NA	prep
ind_mixed_2012_1M	75752	Pada ayat ke 30, Yesus berbicara	mengenai	"""kegagalan"" orang yang mengikut Yesus, bahwa mereka ""yang mula-mula"" mengikut Yesus bisa gagal sehingga ia menjadi ""yang terakhir""."	"Pada ayat ke 30, Yesus berbicara <m>mengenai</m> ""kegagalan"" orang yang mengikut Yesus, bahwa mereka ""yang mula-mula"" mengikut Yesus bisa gagal sehingga ia menjadi ""yang terakhir""."	NA	prep
ind_mixed_2012_1M	120638	Adapun	mengenai	"""Nabi yang seperti Musa"", sebagaimana disebutkan dalam ayat 18 di atas, dijelaskan panjang lebar berikut ini: A. Nabi itu akan berasal ""dari antara saudara mereka""."	"Adapun <m>mengenai</m> ""Nabi yang seperti Musa"", sebagaimana disebutkan dalam ayat 18 di atas, dijelaskan panjang lebar berikut ini: A. Nabi itu akan berasal ""dari antara saudara mereka""."	NA	prep
ind_mixed_2012_1M	838209	Demikian pandangan sosiolog Thamrin Amal Tomagola, pengamat hukum Harkristuti Harkrisnowo dan Sekretaris Jenderal Koalisi Perempuan Indonesia, Nursyahbani Katjasungkana, dalam diskusi	mengenai	"""Nurani, Hukum dan Keadilan"", di Jakarta, Kamis (28/11)."	"Demikian pandangan sosiolog Thamrin Amal Tomagola, pengamat hukum Harkristuti Harkrisnowo dan Sekretaris Jenderal Koalisi Perempuan Indonesia, Nursyahbani Katjasungkana, dalam diskusi <m>mengenai</m> ""Nurani, Hukum dan Keadilan"", di Jakarta, Kamis (28/11)."	NA	prep
ind_mixed_2012_1M	41219	422. Diluar dari asal mula yang tepat dari daerah Timur Tengah	mengenai	"""Orang Majus saat Natal"", orang Majus melakukan praktek ilmu perbintangan."	"422. Diluar dari asal mula yang tepat dari daerah Timur Tengah <m>mengenai</m> ""Orang Majus saat Natal"", orang Majus melakukan praktek ilmu perbintangan."	NA	prep
ind_mixed_2012_1M	466694	Sementara itu kalimat puitis ini dapat mengarah pada hubungan dalam membawa manusia kepada Kristus, kalimat ini tidak mendukung sebuah peran gereja mengenai bapa kecuali kalau ada sebuah peran gereja	mengenai	"""orang muda"" dan""anak""."	"Sementara itu kalimat puitis ini dapat mengarah pada hubungan dalam membawa manusia kepada Kristus, kalimat ini tidak mendukung sebuah peran gereja mengenai bapa kecuali kalau ada sebuah peran gereja <m>mengenai</m> ""orang muda"" dan""anak""."	NA	prep
ind_mixed_2012_1M	319733	Kita berbicara	mengenai	"""panggilan internal dari Allah."	"Kita berbicara <m>mengenai</m> ""panggilan internal dari Allah."	NA	prep
ind_mixed_2012_1M	641670	"Penghalang-penghalang komunikasi tampaknya susah diatasi sampai Don menemukan ""Redemptive Analogy"" (Analogi Penebusan)-- konsep dari suku Sawi"	mengenai	"""Peace Child"" (Anak Perdamaian)."	"Penghalang-penghalang komunikasi tampaknya susah diatasi sampai Don menemukan ""Redemptive Analogy"" (Analogi Penebusan)-- konsep dari suku Sawi <m>mengenai</m> ""Peace Child"" (Anak Perdamaian)."	NA	prep
ind_mixed_2012_1M	254412	Jesse Jackson	mengenai	"""Perang Salib"" Bush Laknatullah sesungguhnya adalah memerangi Islam."	"Jesse Jackson <m>mengenai</m> ""Perang Salib"" Bush Laknatullah sesungguhnya adalah memerangi Islam."	NA	prep
ind_mixed_2012_1M	651645	Setelah kematiannya, keyakinan terhadap rumusan utusan Injil dari awal zaman Victoria ini	mengenai	"""perdagangan dan kekristenan"" sedikit demi sedikit memudar."	"Setelah kematiannya, keyakinan terhadap rumusan utusan Injil dari awal zaman Victoria ini <m>mengenai</m> ""perdagangan dan kekristenan"" sedikit demi sedikit memudar."	NA	prep
ind_mixed_2012_1M	810130	Karakteristik tentang kebijakan kompensasi ini kemudian direplikasi oleh Adi Prasetyo (2000) dengan sumber data hasil tim riset tahun 1997	mengenai	"""Peringkat 400 Gaji Eksekutif"" yang dipublikasi Warta Ekonomi."	"Karakteristik tentang kebijakan kompensasi ini kemudian direplikasi oleh Adi Prasetyo (2000) dengan sumber data hasil tim riset tahun 1997 <m>mengenai</m> ""Peringkat 400 Gaji Eksekutif"" yang dipublikasi Warta Ekonomi."	NA	prep
ind_mixed_2012_1M	608399	Problem ini telah bisa diatasi dengan sangat memuaskan dalam diskusi	mengenai	"""Pohon Ara yang Tidak Berbuah"" yang dipublikasikan bertahun-tahun yang lalu oleh WM Christie."	"Problem ini telah bisa diatasi dengan sangat memuaskan dalam diskusi <m>mengenai</m> ""Pohon Ara yang Tidak Berbuah"" yang dipublikasikan bertahun-tahun yang lalu oleh WM Christie."	NA	prep
ind_mixed_2012_1M	122023	Antropologi semacam ini tentu saja sangat menentukan bagi pemahaman	mengenai	"""seksualitas""."	"Antropologi semacam ini tentu saja sangat menentukan bagi pemahaman <m>mengenai</m> ""seksualitas""."	NA	prep
ind_mixed_2012_1M	276022	Anda bisa menemukan traktat	mengenai	"""Terror in London"", ""War of the Worlds"", dan ""Ten Commandments""."	"Anda bisa menemukan traktat <m>mengenai</m> ""Terror in London"", ""War of the Worlds"", dan ""Ten Commandments""."	NA	prep
ind_mixed_2012_1M	773374	""" Clement dari Alexandria berbicara"	mengenai	"""Trinitas yang Kudus"" dalam The Stromata (tahun 193-202 A.D.) buku 5 bag."	""" Clement dari Alexandria berbicara <m>mengenai</m> ""Trinitas yang Kudus"" dalam The Stromata (tahun 193-202 A.D.) buku 5 bag."	NA	prep
